Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6344348d2364de3972a06295,609b65565239fb092894f299,APPROVED,2022-10-10T15:04:45.010000Z,2022-10-10T15:10:14.689000Z,2022-10-10T16:21:21.803000,2022-10-10T15:10:15.127169Z,330,24A88432,152,1,100,25,Male,Mixed,Chile,Chile,Chile,English,No,Unemployed (and job seeking)
634434e2c62b9a41158b8588,605cd2aefa163d506547bb2d,APPROVED,2022-10-10T15:06:10.268000Z,2022-10-10T15:13:51.108000Z,2022-10-10T16:21:36.869000,2022-10-10T15:13:51.452549Z,461,24A88432,232,3,99,35,Female,Mixed,South Africa,South Africa,South Africa,English,No,Other
634434f7b95c2e902e729262,5fac291cf23656176df5c680,APPROVED,2022-10-10T15:06:36.184000Z,2022-10-10T15:13:27.912000Z,2022-10-10T16:21:21.924000,2022-10-10T15:13:28.289889Z,412,24A88432,251,2,99,29,Male,White,Canada,Canada,Canada,English,No,Full-Time
6344353f43b589c5aa9d7eb6,5b339c509ccd3200014547a6,APPROVED,2022-10-10T15:07:47.022000Z,2022-10-10T15:13:42.605000Z,2022-10-10T16:21:22.042000,2022-10-10T15:13:43.018479Z,356,24A88432,270,2,100,43,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Other
6344354ed232156d7160a87b,60059c69e9950473fb485ec3,APPROVED,2022-10-10T15:07:58.631000Z,2022-10-10T15:23:18.587000Z,2022-10-10T16:21:22.157000,2022-10-10T15:23:19.082766Z,920,24A88432,245,4,99,59,Male,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time
63443555fba47720c32d12c6,55d587718ce09000057d49c7,APPROVED,2022-10-10T15:08:12.104000Z,2022-10-10T15:15:06.939000Z,2022-10-10T16:21:36.976000,2022-10-10T15:15:07.351616Z,415,24A88432,633,9,99,32,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634435568d99e5229a0d5cde,5f5b2a65cb0a65239532cd00,APPROVED,2022-10-10T15:08:10.929000Z,2022-10-10T15:19:25.347000Z,2022-10-10T16:21:37.087000,2022-10-10T15:19:25.721088Z,675,24A88432,235,3,99,51,Female,White,South Africa,South Africa,South Africa,English,No,Full-Time
634435661b05d1017a66954f,6301185b6013d0487dcd3873,AWAITING REVIEW,2022-10-10T15:08:25.623000Z,2022-10-10T15:09:42.215000Z,,2022-10-10T15:09:42.692541Z,77,NOCODE,51,2,97,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6344359e2191c35b9f8716fe,5c364b88d7f44d00015a0e79,APPROVED,2022-10-10T15:09:21.648000Z,2022-10-10T15:14:10.041000Z,2022-10-10T16:21:37.194000,2022-10-10T15:14:10.485541Z,289,24A88432,677,4,100,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
634435bd513aa2fc24729270,60428fd2aefb7019ed8fdd34,APPROVED,2022-10-10T15:09:53.726000Z,2022-10-10T15:15:21.115000Z,2022-10-10T16:21:37.302000,2022-10-10T15:15:21.589125Z,328,24A88432,141,1,100,26,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
634435c9aaa9d51aa02d12d9,5eaadc1b70a4c00554e392bb,APPROVED,2022-10-10T15:10:08.477000Z,2022-10-10T15:15:37.658000Z,2022-10-10T16:21:37.407000,2022-10-10T15:15:38.121734Z,330,24A88432,632,7,99,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
634435d0d3d436c4b134cd45,5fbec09648257b0cce0c64d9,APPROVED,2022-10-10T15:11:31.329000Z,2022-10-10T15:17:52.012000Z,2022-10-10T16:21:37.513000,2022-10-10T15:17:54.362641Z,381,24A88432,309,1,100,22,Female,White,United States,Chile,United States,English,Yes,Unemployed (and job seeking)
634435e04998a7ddd771acdd,5cff70593530e400165bcde5,APPROVED,2022-10-10T15:10:24.684000Z,2022-10-10T15:15:51.596000Z,2022-10-10T16:21:37.617000,2022-10-10T15:15:52.015840Z,327,24A88432,252,3,99,25,Female,White,Australia,Australia,Italy,English,Yes,Part-Time
634435ed3872056949df38db,5e0378a7b199e4e7e6ccd8e9,APPROVED,2022-10-10T15:10:37.103000Z,2022-10-10T15:14:50.486000Z,2022-10-10T16:21:22.268000,2022-10-10T15:14:51.041718Z,254,24A88432,1173,3,100,27,Male,Other,Belgium,Belgium,United States,English,No,Full-Time
634435f37aef90562c10aa9d,59a23b5d1bf9070001ce8d73,APPROVED,2022-10-10T15:10:50.282000Z,2022-10-10T15:17:10.197000Z,2022-10-10T16:21:37.724000,2022-10-10T15:17:10.817236Z,380,24A88432,556,4,100,75,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
